Learning Area,Subject,Pathway,Sequence,Level,Achievement Standard
Languages,Framework for Classical Languages,,,Years 7 and 8,"<p>By the end of Year 8, students use their knowledge of [Classical Language] to interpret texts and sources, and respond to information about ancient [Country/City] society. They develop strategies to translate [Classical Language] texts into English, identifying familiar vocabulary and language structures and features to interpret meaning.</p>
</p>Students apply [Classical Language] sound-script relationships and use restored pronunciation when reading familiar texts aloud. They demonstrate understanding that [Classical Language] has conventions and rules for spoken and written communication. They understand that [Classical Language] has influenced English vocabulary and comment on language structures and features, using metalanguage. They demonstrate awareness that language, texts and artefacts from Ancient [Country/City] are connected with culture and identity, and explore the relationships between language(s), culture(s) and identity.</p>"
Languages,Framework for Classical Languages,,,Years 9 and 10,"<p>By the end of Year 10, students use their knowledge of [Classical Language] to interpret and analyse information from a range of texts and sources about ancient [Country/City] society and culture. They apply strategies to translate and interpret [Classical Language] texts into English and demonstrate understanding of how language conveys cultural meaning.</p>
<p>Students apply [Classical Language] sound-script relationships and use restored pronunciation when reading familiar and unfamiliar texts aloud. They select and apply [Classical Language] grammatical conventions and rules when translating and responding to texts. They explain how [Classical Language] has influenced English vocabulary and analyse language structures and features, using metalanguage. They demonstrate understanding that the language, texts and artefacts from Ancient [Country/City] are connected with culture and identity and reflect on the interrelationship of language(s), culture(s) and identity.</p>"
Languages,French,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use French language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning.  They respond in French or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts, and demonstrate understanding of how some language reflects cultural practices.</p><p>Students approximate French sound patterns, intonation and rhythms, and demonstrate understanding that French has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of French and English language structures and features, using metalanguage. They demonstrate awareness that the French language is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,French,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain French language to exchange and compare ideas and experiences about their own and others’ personal world. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in French or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written French to create texts.</p><p>Students apply features of the French sound system to enhance fluency and demonstrate understanding of the sound system in spoken exchanges. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning French, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,French,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create French texts, with support. They identify that French and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,French,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use French language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.</p><p>Students imitate the sounds and rhythms of French and demonstrate understanding that French has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of French and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,French,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use French language to initiate structured interactions to share information related to the classroom and their personal world. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.</p><p>Students imitate sound combinations and rhythms of French language. They demonstrate understanding that French has non-verbal, spoken and written language conventions and rules to create and make meaning.  They recognise that some terms have cultural meanings. They identify patterns in French and make comparisons between French and English. They understand that the French language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,French,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in French language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in French or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p><p>Students apply rules for pronunciation and intonation, spelling and punctuation, and modelled structures, when creating and responding in French. They compare language structures and features in French and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,French,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in French language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use French to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts.  They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures and expressions to create texts.</p><p>Students apply the conventions of spoken French to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of French text, using metalanguage.  They reflect on how the French language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,French,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in French language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences.  They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language devices to enhance meaning and cohesion.</p><p>Students incorporate the features and conventions of spoken French to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of French texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning French, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,German,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create German texts, with support. They identify that German and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,German,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use German language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.</p>
<p>Students imitate the sounds and rhythms of spoken German. They demonstrate understanding that German has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of German and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,German,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use German language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.</p>
<p>Students imitate sound combinations and rhythms of spoken German. They demonstrate understanding that German has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in German and make comparisons between German and English. They understand that the German language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,German,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in German language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in German or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules of pronunciation and intonation in spoken German. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in German. They compare language structures and features in German and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,German,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in German language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use German to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures and expressions to create texts.</p>
<p>Students apply the conventions of spoken German to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of German text, using metalanguage. They reflect on how the German language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,German,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in German language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language devices to enhance meaning and cohesion.</p>
<p>Students incorporate the features and conventions of spoken German to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of German texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning German, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,German,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use German language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in German or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts.</p>
<p>Students approximate pronunciation and intonation in spoken German. They demonstrate understanding that German has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of German and English language structures and features, using metalanguage. They demonstrate awareness that the German language is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,German,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain German language to exchange and compare ideas and experiences about their own and others’ personal worlds. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in German or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written German to create texts.</p>
<p>Students apply features and conventions of spoken German to enhance fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning German, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Hindi,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Hindi texts, with support. They identify that Hindi and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Hindi,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Hindi language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts, using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language in Devan?gar? script to create text. They copy Devan?gar? script to make words.</p>
<p>Students imitate the sounds and rhythms of spoken Hindi. They demonstrate understanding that Hindi has rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Hindi and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Hindi,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Hindi language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts, using Devan?gar? script as appropriate.</p>
<p>Students imitate sound combinations and rhythms of spoken Hindi. They demonstrate understanding that Hindi has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Hindi and make comparisons between Hindi and English. They understand that the Hindi language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Hindi,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Hindi language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Hindi or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures, and Devan?gar? script, to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules for pronunciation and intonation in spoken Hindi. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in Hindi. They compare language structures and features in Hindi and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Hindi,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Hindi language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Hindi to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures, and expressions to create texts.</p>
<p>Students apply the conventions of spoken Hindi to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Hindi text, using metalanguage. They reflect on how the Hindi language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Hindi,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Hindi language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language features to enhance meaning and cohesion.</p>
<p>Students incorporate the features and conventions of spoken Hindi to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Hindi texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Hindi, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Hindi,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Hindi language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Hindi or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language and modelled sentence and grammatical structures to create texts, with Devan?gar? script in writing.</p>
<p>Students approximate pronunciation and intonation of spoken Hindi. They demonstrate understanding that Hindi has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of Hindi and English language structures and features, using metalanguage. They demonstrate awareness that the Hindi language is connected with culture and identity, and that this connection is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Hindi,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain Hindi language to exchange and compare ideas and experiences about their own and others’ personal worlds. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Hindi or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written Hindi to create texts.</p>
<p>Students apply features and conventions of spoken Hindi to enhance fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Hindi, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Indonesian,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Indonesian texts, with support. They identify that Indonesian and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Indonesian,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Indonesian language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.</p>
<p>Students imitate the sounds and rhythms of spoken Indonesian. They demonstrate understanding that Indonesian has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Indonesian and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Indonesian,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Indonesian language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.</p>
<p>Students imitate sound combinations and rhythms of spoken Indonesian. They demonstrate understanding that Indonesian has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Indonesian and make comparisons between Indonesian and English. They understand that the Indonesian language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Indonesian,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Indonesian language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Indonesian or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules of pronunciation and intonation in spoken Indonesian. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in Indonesian. They compare language structures and features in Indonesian and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Indonesian,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Indonesian language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Indonesian to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures and expressions to create texts.</p>
<p>Students apply the conventions of spoken Indonesian to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Indonesian text, using metalanguage. They reflect on how the Indonesian language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Indonesian,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Indonesian language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language devices to enhance meaning and cohesion.</p>
<p>Students incorporate the features and conventions of spoken Indonesian to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Indonesian texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Indonesian, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Indonesian,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Indonesian language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Indonesian or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts.</p>
<p>Students approximate pronunciation and intonation in spoken Indonesian. They demonstrate understanding that Indonesian has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of Indonesian and English language structures and features, using metalanguage. They demonstrate awareness that the Indonesian language is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Indonesian,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain Indonesian language to exchange and compare ideas and experiences about their own and others’ personal worlds. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Indonesian or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written Indonesian to create texts.</p>
<p>Students apply features and conventions of spoken Indonesian to enhance fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Indonesian, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Italian,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Italian language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Italian or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts, and demonstrate understanding of how some language reflects cultural practices.</p><p>Students approximate Italian sound patterns, intonation and rhythms, and demonstrate understanding that Italian has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of Italian and English language structures and features, using metalanguage. They demonstrate awareness that the Italian language is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Italian,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain Italian language to exchange and compare ideas and experiences about their own and others’ personal world. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Italian or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written Italian to create texts.</p><p>Students apply features of the Italian sound system to enhance fluency and demonstrate understanding of the sound system in spoken exchanges. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Italian, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Italian,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Italian texts, with support. They identify that Italian and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Italian,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Italian language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.</p><p>Students imitate the sounds and rhythms of Italian and demonstrate understanding that Italian has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Italian and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Italian,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Italian language to initiate structured interactions to share information related to the classroom and their personal world. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.</p><p>Students imitate sound combinations and rhythms of Italian language. They demonstrate understanding that Italian has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Italian and make comparisons between Italian and English. They understand that the Italian language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Italian,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Italian language that are related to their immediate environment. They use appropriate sound combinations, intonation, and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Italian or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p><p>Students apply rules for pronunciation and intonation, spelling and punctuation, and modelled structures, when creating and responding in Italian. They compare language structures and features in Italian and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Italian,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Italian language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Italian to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts.  They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures and expressions to create texts.</p><p>Students apply the conventions of spoken Italian to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Italian text, using metalanguage. They reflect on how the Italian language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Italian,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Italian language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language devices to enhance meaning and cohesion.</p><p>Students incorporate the features and conventions of spoken Italian to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning.  They support analysis of Italian texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Italian, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Japanese,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Japanese language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Japanese or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts, and demonstrate understanding of how some language reflects cultural practices. They use some familiar katakana and kanji, and hiragana, with support.</p><p>Students approximate Japanese sound patterns, intonation and rhythms, and recognise the relationship between spoken and written forms. They demonstrate understanding that Japanese has conventions and rules for scripts, non-verbal, spoken and written communication. They comment on aspects of Japanese and English language structures and features, using metalanguage. They demonstrate awareness that the Japanese language is connected with culture and identity, and how this is reflected in their own language(s), culture(s) and identity.</p>"
